pdbCompoundId,pdbStructureId
010,7bi5
022,3qj5
024,2qbs
032,5hes
032,3og7
039,2chw
03P,3poz
03P,3rcd
041,1x7b
041,6qy8
041,6qy7
047,2pjl
04J,4kn1
057,3fqh
05X,7exd
066,3gwt
07J,3tt0
084,1ouk
08D,6ysx
08H,6huo
08H,3u5j
08J,3u5k
08J,5te8
08Y,7jvr
08Y,6vms
08Y,3ua1
093,4d0l
093,2chz
093,4d0m
097,2jih
097,1r55
097,3hy7
099,3hyg
09L,5ds3
09L,4tvj
09L,3u9y
0A9,1hdt
0H6,3vf6
0HK,5dsg
0HK,5cxv
0HK,6ol9
0LI,4c8b
0LI,6eg9
0LI,4u0i
0LI,6tu9
0LI,3zos
0LI,6p3d
0LI,4qrc
0MO,3i8v
0MO,3k4s
0RF,4ekl
0RP,4ews
0SX,4f9c
0V5,3ujs
0WM,4g5j
0XZ,4gv1
0YK,7f3o
111,1g49
117,1hwk
11X,3ftv
12C,2gdo
12H,1m6w
12Q,5fe1
12Q,5t4u
12Q,5s8l
12Q,4qst
130,1gj5
13P,1wpq
13P,2wm1
14A,1t4v
14M,4hfr
152,1s5o
156,1fcz
15M,2f38
16D,2qk9
16D,4bg1
16U,3dt0
16V,4hiq
172,3kr0
177,1ta6
184,1fcx
196,1yye
197,1o4a
198,4okb
198,1z95
198,4la0
198,4fia
19A,2ojg
19U,2zfp
1AC,3fe7
1AC,2gv2
1AC,3ov1
1AU,3hv7
1BN,5s8m
1BN,3pb9
1BN,2afx
1BO,3et2
1C2,2f6t
1C9,4i23
1CN,2hoc
1E8,6yg2
1E8,5yu9
1E8,5p9i
1FL,3d2t
1FL,2bxe
1FN,3ce3
1J4,4j53
1K0,4j1p
1K0,4j3i
1KD,7na8
1KS,4jkv
1KX,5u98
1KX,3vrj
1KX,3vri
1KX,3upr
1LT,4jps
1N1,3lfa
1N1,5h2u
1N1,7erk
1N1,2gqg
1N1,4qms
1N1,3k54
1N1,6fnm
1N1,5vcv
1N1,5owr
1N1,5bvw
1N1,5i9y
1N1,3sxr
1O8,4k4j
1OE,7f8u
1OH,2zas
1PG,5w0g
1PG,5nn0
1PG,6byy
1PG,4imn
1PG,3l0b
1PG,1i4f
1PG,2arp
1PG,1pin
1PG,5urv
1PG,3noi
1PG,6z8p
1PG,5vwz
1PU,1gih
1TA,5ufs
1XJ,6qgh
1XJ,4lvt
1YE,4qxo
201,2b0m
205,2f8i
20A,3d3p
20J,4lv9
210,2f89
219,1o4i
21U,2zgb
22F,3fu0
22U,2zc9
230,2phb
231,5phe
234,1q1m
242,2ofv
243,2vst
244,1x7e
244,1x78
24U,2zi2
251,2qu2
253,2r7b
255,2r9s
262,1o4d
26C,2f7i
26U,2ziq
272,1u3q
276,2qu5
277,2oph
279,2rg5
27J,7axh
27J,4mg8
27K,4mg9
27U,2zhq
283,2oi0
292,1vyw
294,3b8z
299,1o4e
29S,4xi3
29U,2zgx
2A6,1h1q
2AN,5aut
2AN,3cfn
2AN,3pxf
2AN,2wor
2AN,3wbg
2BF,1nd5
2C0,7eb2
2C0,4ms4
2C7,3dd8
2CA,1nlj
2CH,1wbo
2D7,2byh
2D9,2ccu
2DD,2byi
2DI,1v3q
2DL,2xdl
2DT,6nku
2DT,1nn0
2DT,1xsn
2E1,2cct
2EQ,2vcj
2FD,3ggs
2GG,2uwd
2GJ,2vci
2GM,4iaq
2HB,4p7e
2HC,5bnl
2K2,4nct
2KL,2wi7
2NI,1zp5
2O7,2o7n
2OH,6lit
2OH,3uu7
2OH,2e2r
2OP,4dv9
2OP,4qo7
2OP,6lz0
2OW,4pa0
2PM,2aot
2PP,1dit
2PU,1gij
2QG,4o12
2RC,4o75
2RD,2rdt
2S0,4oar
2SC,2r3o
2T1,3fmz
2TA,4ogj
2TA,6vne
2TL,7b3j
2TL,6c1d
2TL,6xxr
2U8,4oo9
2UN,2h02
2VQ,4mo8
2YB,4phu
2YQ,4pjt
2YQ,4pjv
300,1o41
302,2hxm
304,3bx5
311,3ch6
317,3c45
319,3cth
31U,2znk
320,3ctj
324,3c4c
327,3eah
32D,4b05
330,2io6
338,1u3r
33A,2oji
33A,2ok1
33E,4tki
33Y,5z12
33Y,3fli
340,1kbo
347,2pjt
34O,3f7z
34Q,2rip
34W,6qas
34W,4qmv
34W,5vd2
352,3ey4
353,3f82
356,2rgu
356,6y0f
358,1ove
35F,3e7o
35R,5n23
35R,4qmm
35R,5ut0
361,3hac
36M,4tv1
371,2duv
373,2hxq
388,2iki
388,5liu
38O,5a46
38O,7akg
38O,4tyi
38O,5owq
38P,3mvl
393,2ikj
397,1u9e
3AS,2qtu
3AT,4lt6
3AT,1k90
3AT,6k0r
3BK,3fzk
3BM,3eqc
3C0,5yc8
3CA,2b77
3CZ,3czr
3DG,1v45
3E8,4r1v
3EA,2ath
3EW,7jut
3EW,7m0t
3EW,4u7z
3FG,3vfk
3FN,3fln
3HE,6y2l
3HE,6y0g
3HE,5lks
3HG,2cw6
3HT,3f88
3IB,2gj6
3IG,2g1r
3IP,3fty
3IP,1w7h
3JD,4r6e
3JW,6vn8
3JW,4w9x
3K3,4r5y
3MI,3tct
3MP,1bm6
3MP,1eub
3N6,3n7r
3NA,1z3n
3NG,3nga
3NG,6fyl
3NG,6hmb
3NG,6p5s
3NG,6fyv
3NG,5o11
3NG,6khd
3OR,3orn
3PG,2wzb
3PG,4gwk
3PG,6cwa
3PG,2a9j
3PO,5mza
3PO,3tvl
3PO,4tnx
3PO,6d5x
3PO,3otb
3QC,2fme
3QZ,5vbu
3QZ,4nky
3RL,4wns
3SY,6e8y
3T5,3tc5
3TC,2noa
3TP,2hha
3WF,4x1f
3XH,3e9k
3YS,4x7i
3ZC,4rwl
401,2znq
405,4xdk
406,2e2b
417,2p8s
418,1ph0
41A,3dpd
422,2hxl
43A,2ayp
43P,1yc4
440,3b92
443,3kl6
444,2o9i
444,4nb6
444,1pqc
444,1uhl
448,2qoe
44U,3da9
458,2b1v
462,2qu3
469,3hub
474,2qtb
47D,2pdg
486,3h52
486,1nhz
486,3qt0
486,2w8y
492,3fu5
493,1o49
49U,2zhf
4B2,4ybi
4BC,1yc1
4BG,3cho
4BH,2ccs
4BM,7m0x
4BM,3eqg
4BM,7juu
4BQ,3chq
4BS,3chr
4DI,2aov
4DY,2n27
4FC,1ysg
4FP,2ohn
4HG,2g19
4HY,3jzb
4HY,1nq0
4HY,2pit
4IP,1upr
4IP,1h10
4IP,4kax
4IP,6bbp
4IP,1w1d
4IP,7kjz
4IP,3ajm
4IP,1w2d
4IP,6u3e
4IP,2lko
4IP,1b55
4IP,1fao
4IP,5d3x
4J8,4yxi
4MK,4mkc
4MV,2ziq
4MV,2cog
4MZ,6tx5
4MZ,1g0e
4NA,1yy4
4NC,5phd
4NC,7pby
4NH,2a8h
4NP,4woh
4OH,3l03
4PQ,7ofv
4PZ,3e4e
4QJ,5b25
4SP,6bss
4SP,5lqf
4SP,2c6o
4SP,1h1s
4SP,5m57
4T4,4zyf
4TR,1xq0
4TX,5boj
4TZ,1xpz
501,1zgv
509,2h4k
50U,2zg0
50V,5cf8
521,2nta
524,2qt9
52P,3fc1
537,5lvl
537,1pmv
537,1uki
537,2zmd
53Q,6vpf
53U,2zff
541,2fv5
547,2of2
550,3edz
553,3du8
555,2nv7
55F,3faa
55J,5ct7
564,1fcy
565,2iiv
56H,5d1j
570,1fm9
570,7ahj
570,1rdt
572,1pl6
575,2zm3
57D,4des
580,1rw8
585,3piy
585,3fqs
5AP,1rwq
5B2,3e63
5B3,3e64
5BN,1p2a
5BP,3ej1
5CN,2i0y
5GP,6hgs
5GP,7p3b
5GP,3x02
5GP,2b8w
5GP,6i0m
5GP,2a7r
5GP,2jbh
5GP,5km1
5GP,3dy8
5GP,7nqh
5GP,2xjc
5GP,7nsh
